City,State,Country,CountryCode,PostalCode,Sex,EmailPromotion,EmailAddress,PhoneNumberType,OnlineOrderFlag,OrderQty,UnitPrice,SubTotal,TaxAmt,Freight,TotalDue,ShipMethod,ShipBase,ShipRate,FullDate
Warrnambool,Victoria,Australia,AU,3280,,0,victoria15@adventure-works.com,Home,-1,1,8.99,2407.04,192.5632,60.176,2659.7792,XRQ - TRUCK GROUND,3.95,0.99,2013-06-27
Warrnambool,Victoria,Australia,AU,3280,,0,victoria15@adventure-works.com,Home,-1,1,21.49,561.48,44.9184,14.037,620.4354,XRQ - TRUCK GROUND,3.95,0.99,2013-08-19
Warrnambool,Victoria,Australia,AU,3280,,0,victoria15@adventure-works.com,Home,-1,1,4.99,588.96,47.1168,14.724,650.8008,XRQ - TRUCK GROUND,3.95,0.99,2011-06-01
Cliffside,British Columbia,Canada,CA,V8Y 1L1,,0,warren19@adventure-works.com,Home,-1,1,34.99,38.98,3.1184,0.9745,43.0729,XRQ - TRUCK GROUND,3.95,0.99,2013-08-23
Cliffside,British Columbia,Canada,CA,V8Y 1L1,,0,warren19@adventure-works.com,Home,-1,1,9.99,2309.97,184.7976,57.7493,2552.5169,XRQ - TRUCK GROUND,3.95,0.99,2013-09-30
Matraville,New South Wales,Australia,AU,2036,,1,ross32@adventure-works.com,Cell,-1,1,28.99,41.93,3.3544,1.0483,46.3327,XRQ - TRUCK GROUND,3.95,0.99,2013-06-20
Fremont,California,United States,US,94536,,1,victoria18@adventure-works.com,Cell,-1,1,8.99,2400.95,192.076,60.0238,2653.0498,XRQ - TRUCK GROUND,3.95,0.99,2013-10-13
Fremont,California,United States,US,94536,,1,victoria18@adventure-works.com,Cell,0,3,445.41,21439.446,2045.9863,639.3707,24124.803,CARGO TRANSPORT 5,8.99,1.49,2014-03-09
Fremont,California,United States,US,94536,,1,victoria18@adventure-works.com,Cell,-1,1,35.0,35.0,2.8,0.875,38.675,XRQ - TRUCK GROUND,3.95,0.99,2011-06-28
Berkshire,England,United Kingdom,GB,RG11 5TP,,0,gerald32@adventure-works.com,Home,0,3,445.41,59234.838,5702.0229,1781.8822,66718.7431,CARGO TRANSPORT 5,8.99,1.49,2014-04-13
Berkshire,England,United Kingdom,GB,RG11 5TP,,0,gerald32@adventure-works.com,Home,-1,1,21.49,563.77,45.1016,14.0943,622.9659,XRQ - TRUCK GROUND,3.95,0.99,2013-10-01
Berkshire,England,United Kingdom,GB,RG11 5TP,,0,gerald32@adventure-works.com,Home,-1,1,49.99,819.48,65.5584,20.487,905.5254,XRQ - TRUCK GROUND,3.95,0.99,2011-06-21
Olympia,Washington,United States,US,98501,,0,gerald41@adventure-works.com,Home,0,3,5.394,331.152,26.7798,8.3687,366.3005,CARGO TRANSPORT 5,8.99,1.49,2014-04-14
Olympia,Washington,United States,US,98501,,0,gerald41@adventure-works.com,Home,-1,1,2.29,38.88,3.1104,0.972,42.9624,XRQ - TRUCK GROUND,3.95,0.99,2011-07-09
Olympia,Washington,United States,US,98501,,0,gerald41@adventure-works.com,Home,0,1,780.8182,6803.6883,662.5278,207.0399,7673.256,CARGO TRANSPORT 5,8.99,1.49,2014-03-31
Colma,California,United States,US,94014,,0,emma2@adventure-works.com,Cell,0,5,14.1289,72019.6975,6929.8067,2165.5646,81115.0688,CARGO TRANSPORT 5,8.99,1.49,2014-04-06
Colma,California,United States,US,94014,,0,emma2@adventure-works.com,Cell,0,1,1430.442,3751.704,360.1636,112.5511,4224.4187,CARGO TRANSPORT 5,8.99,1.49,2014-04-21
Colma,California,United States,US,94014,,0,emma2@adventure-works.com,Cell,-1,1,9.99,69.97,5.5976,1.7493,77.3169,XRQ - TRUCK GROUND,3.95,0.99,2011-07-06
Beverly Hills,California,United States,US,90210,,1,tamara3@adventure-works.com,Cell,-1,1,4.99,2369.97,189.5976,59.2493,2618.8169,XRQ - TRUCK GROUND,3.95,0.99,2011-08-13
Beverly Hills,California,United States,US,90210,,1,tamara3@adventure-works.com,Cell,-1,1,4.99,2420.34,193.6272,60.5085,2674.4757,XRQ - TRUCK GROUND,3.95,0.99,2013-06-02
Beverly Hills,California,United States,US,90210,,1,tamara3@adventure-works.com,Cell,-1,1,8.99,1193.45,95.476,29.8363,1318.7623,XRQ - TRUCK GROUND,3.95,0.99,2013-11-14
London,England,United Kingdom,GB,SW1P 2NU,,0,warren22@adventure-works.com,Home,-1,1,4.99,14.98,1.1984,0.3745,16.5529,XRQ - TRUCK GROUND,3.95,0.99,2013-06-27
Bothell,Washington,United States,US,98011,,2,emma15@adventure-works.com,Home,-1,1,53.99,119.95,9.596,2.9988,132.5448,XRQ - TRUCK GROUND,3.95,0.99,2011-08-31
Bothell,Washington,United States,US,98011,,2,emma15@adventure-works.com,Home,-1,1,34.99,1205.47,96.4376,30.1368,1332.0444,XRQ - TRUCK GROUND,3.95,0.99,2013-06-11
Bothell,Washington,United States,US,98011,,2,emma15@adventure-works.com,Home,-1,1,539.99,614.45,49.156,15.3613,678.9673,XRQ - TRUCK GROUND,3.95,0.99,2013-11-15
Seattle,Washington,United States,US,98104,,0,james74@adventure-works.com,Cell,-1,1,34.99,89.97,7.1976,2.2493,99.4169,XRQ - TRUCK GROUND,3.95,0.99,2013-07-31
North Ryde,New South Wales,Australia,AU,2113,,0,victoria13@adventure-works.com,Cell,-1,1,34.99,63.97,5.1176,1.5993,70.6869,XRQ - TRUCK GROUND,3.95,0.99,2013-06-05
North Ryde,New South Wales,Australia,AU,2113,,0,victoria13@adventure-works.com,Cell,-1,1,539.99,574.98,45.9984,14.3745,635.3529,XRQ - TRUCK GROUND,3.95,0.99,2013-08-02
North Ryde,New South Wales,Australia,AU,2113,,0,victoria13@adventure-works.com,Cell,-1,1,34.99,71.58,5.7264,1.7895,79.0959,XRQ - TRUCK GROUND,3.95,0.99,2011-06-27
Springwood,New South Wales,Australia,AU,2777,,0,victoria14@adventure-works.com,Cell,-1,1,35.0,2329.99,186.3992,58.2498,2574.639,XRQ - TRUCK GROUND,3.95,0.99,2013-06-13
Springwood,New South Wales,Australia,AU,2777,,0,victoria14@adventure-works.com,Cell,-1,1,24.99,28.98,2.3184,0.7245,32.0229,XRQ - TRUCK GROUND,3.95,0.99,2013-10-23
Springwood,New South Wales,Australia,AU,2777,,0,victoria14@adventure-works.com,Cell,-1,1,34.99,583.97,46.7176,14.5993,645.2869,XRQ - TRUCK GROUND,3.95,0.99,2011-06-16
Palo Alto,California,United States,US,94303,,0,ross34@adventure-works.com,Cell,-1,1,8.99,58.98,4.7184,1.4745,65.1729,XRQ - TRUCK GROUND,3.95,0.99,2013-06-03
Palo Alto,California,United States,US,94303,,0,ross34@adventure-works.com,Cell,0,1,158.43,38783.562,3743.7681,1169.9275,43697.2576,CARGO TRANSPORT 5,8.99,1.49,2014-03-16
Palo Alto,California,United States,US,94303,,0,ross34@adventure-works.com,Cell,-1,1,2.29,27.77,2.2216,0.6943,30.6859,XRQ - TRUCK GROUND,3.95,0.99,2011-06-14
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,5,1020.594,80450.376,7735.1488,2417.234,90602.7588,CARGO TRANSPORT 5,8.99,1.49,2013-12-23
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,4.99,2444.45,195.556,61.1113,2701.1173,XRQ - TRUCK GROUND,3.95,0.99,2013-10-08
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,4,602.346,97647.72,9417.2592,2942.8935,110007.8727,CARGO TRANSPORT 5,8.99,1.49,2014-02-19
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,3,1466.01,33904.482,3240.9397,1012.7936,38158.2153,CARGO TRANSPORT 5,8.99,1.49,2014-01-22
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,34.99,2478.34,198.2672,61.9585,2738.5657,XRQ - TRUCK GROUND,3.95,0.99,2013-08-04
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,2,1376.994,4331.352,413.9397,129.3561,4874.6478,CARGO TRANSPORT 5,8.99,1.49,2014-06-13
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,1,41.994,41.994,3.6395,1.1373,46.7708,CARGO TRANSPORT 5,8.99,1.49,2014-06-14
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,539.99,588.96,47.1168,14.724,650.8008,XRQ - TRUCK GROUND,3.95,0.99,2013-07-15
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,29.99,69.97,5.5976,1.7493,77.3169,XRQ - TRUCK GROUND,3.95,0.99,2013-10-25
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,4,198.036,96577.143,9280.1197,2900.0374,108757.3001,CARGO TRANSPORT 5,8.99,1.49,2014-05-01
Paris,Seine (Paris),France,FR,75005,,2,tamara5@adventure-works.com,Home,-1,1,2384.07,2442.54,195.4032,61.0635,2699.0067,XRQ - TRUCK GROUND,3.95,0.99,2013-07-13
Paris,Seine (Paris),France,FR,75005,,2,tamara5@adventure-works.com,Home,0,4,29.994,64704.8794,6354.4426,1985.7633,73045.0853,CARGO TRANSPORT 5,8.99,1.49,2014-06-12
